2022-05-17 17:41:47,233  INFO WorkerThread Start
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:48,450 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:48,450 DEBUG MainThread Compression method 0
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:48,450 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:48,451 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:49,719 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:49,720 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:49,720 DEBUG MainThread Compression method 0
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:49,720 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:50,214  INFO MainThread Loading face detector...
2022-05-17 17:41:50,232  INFO MainThread Loading Model...
2022-05-17 17:41:52,390 DEBUG MainThread Face detection COG: (614.0, 1518.0)
2022-05-17 17:41:52,390 DEBUG MainThread Face detection COG: (1074.0, 230.0)
2022-05-17 17:41:52,390 DEBUG MainThread Face detection COG: (1034.0, 1094.0)
2022-05-17 17:41:52,390 DEBUG MainThread Face detection COG: (210.0, 1518.0)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (1935.0, 1080.5)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (630.5, 1084.0)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (2356.0, 1055.5)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (2359.5, 218.0)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (641.5, 198.5)
2022-05-17 17:41:53,819 DEBUG MainThread Live detection COG: (1053.0, 1077.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1051.5, 652.0)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1933.0, 228.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (633.0, 652.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1483.5, 1518.0)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1934.5, 1492.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (198.5, 1084.0)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1071.5, 225.0)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1082.0, 1498.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (2371.5, 1504.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (186.0, 182.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1500.5, 217.5)
2022-05-17 17:41:53,820 DEBUG MainThread Live detection COG: (1500.0, 1061.5)
2022-05-17 17:41:53,821 DEBUG MainThread Live detection COG: (2358.5, 646.0)
2022-05-17 17:41:53,821 DEBUG MainThread Live detection COG: (1928.5, 646.0)
2022-05-17 17:41:53,821 DEBUG MainThread Live detection COG: (1498.5, 649.5)
2022-05-17 17:41:53,821 DEBUG MainThread Live detection COG: (202.5, 653.5)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1496.0, 668.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (2360.0, 1518.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1938.0, 1518.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1034.0, 654.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (2360.0, 210.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1494.0, 1074.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1938.0, 1094.0)
2022-05-17 17:41:53,821 DEBUG MainThread Face detection COG: (1082.0, 1522.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (2348.0, 1060.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (1476.0, 1518.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (1494.0, 230.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (632.0, 1094.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (1918.0, 654.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (190.0, 654.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (2342.0, 654.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (1918.0, 230.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (644.0, 208.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (644.0, 668.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (188.0, 1088.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (620.0, 1544.0)
2022-05-17 17:41:53,822 DEBUG MainThread Face detection COG: (1074.0, 230.0)
2022-05-17 17:41:53,823 DEBUG MainThread Face detection COG: (1034.0, 1094.0)
2022-05-17 17:41:53,823 DEBUG MainThread Face detection COG: (160.0, 184.0)
2022-05-17 17:41:53,823 DEBUG MainThread Face detection COG: (210.0, 1518.0)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (1935.0, 1080.5)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (630.5, 1084.0)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (2355.5, 1053.5)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (642.5, 199.5)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (1053.5, 1076.5)
2022-05-17 17:41:55,089 DEBUG MainThread Live detection COG: (638.0, 654.5)
